,date and time,from,comment
0,2023-09-03 07:13:54+00:00,satish.az,@linguatrip_com Уже третий день веду переговоры насчёт записи на ваши курсы. Пока без результатно. Очень слабая и медленная Feedbacks!!!
1,2023-08-26 17:22:16+00:00,s_maslom_hlebushek,"Купила книгу, все пришло. Но само содержимое не понравилось. 40 страниц подряд - фотографии фильмов, с их описанием на русском языке. Шрифт как в книгах для дошкольников"
2,2023-08-17 05:20:01+00:00,plmnbxc_,"Здравствуйте. Пишу уже третий раз, ничего не получила."
3,2023-08-17 05:19:46+00:00,plmnbxc_,@eco_nelle ничего не пришло
4,2023-08-12 11:21:17+00:00,elvira_9112,"Hello , I bought your book , but can’t download it. There is a mistake, and I can’t open it ."
5,2023-08-09 11:46:09+00:00,mariahidalgo_bows,"@rashid_._._._ пришло на почту, которую я указала в анкете! Достаточно быстро кстати 🤷‍♀️"
6,2023-08-09 09:31:08+00:00,rashid_._._._,@zhuldyz_junussova +++
7,2023-08-09 09:30:54+00:00,rashid_._._._,@mariahidalgo_bows как получили можете сказать. Я оплатил но ничего не получил
8,2023-08-06 14:51:23+00:00,mariahidalgo_bows,@eco_nelle вчера заказала и вчера получила)))
9,2023-08-05 04:48:22+00:00,anelle_sun,"Хочу купить книгу, но судя по отзывам она не приходит"
10,2023-08-04 10:19:20+00:00,zhuldyz_junussova,@linguatrip_com и мне не пришло
11,2023-08-04 10:18:36+00:00,zhuldyz_junussova,"Здравствуйте купила пособие, ничего не прислали. Нигде не отвечаете"
12,2023-07-30 13:16:00+00:00,natabasket,@linguatrip_com Знайшла в Промоакціях. Дякую.
13,2023-07-30 09:21:50+00:00,natabasket,"Доброго дня, Мені теж нічого не приходить вже тиждень. Написала на емаіл, відповіді немає😞"
14,2023-07-26 16:19:47+00:00,shirinshanta,@sunita_pancholi_ okay
15,2023-07-26 16:15:36+00:00,sunita_pancholi_,@shirinshanta i am sending you message
16,2023-07-26 16:06:35+00:00,shirinshanta,@sunita_pancholi_  how can connect with you??
17,2023-07-26 16:02:34+00:00,shirinshanta,You're neighbors bro😁😁
18,2023-07-26 16:02:19+00:00,shirinshanta,@sunita_pancholi_ Bangladesh.
19,2023-07-26 16:01:45+00:00,sunita_pancholi_,@shirinshanta i am from India and you
20,2023-07-26 15:58:40+00:00,shirinshanta,@sunita_pancholi_ where are you from??
21,2023-07-26 15:45:40+00:00,sunita_pancholi_,@shirinshanta hy
22,2023-07-26 15:26:24+00:00,shirinshanta,@sunita_pancholi_ 👋👋 hello
23,2023-07-09 12:05:01+00:00,_danikbalko_,купив а нічого неприйшло
24,2023-07-09 07:09:06+00:00,kmns_0s,@sunita_pancholi_ let's communicate in direct or telegram
25,2023-07-09 03:33:21+00:00,sunita_pancholi_,@kmns_0s hy
26,2023-07-08 17:16:43+00:00,kmns_0s,"@sunita_pancholi_ hello, it's meeee !"
27,2023-07-06 10:47:32+00:00,sunita_pancholi_,Hello guys I am looking for a english practice friend is there anyone who is interested
28,2023-07-03 18:39:45+00:00,bboy.skj,I really like your content in the youtube. Unfortunately there were a lot of mistakes. At least I saw two people corrected your errors. keep the good work.
29,2023-06-29 00:35:48+00:00,kris_gavrilovaaa,"Купила пособие, но ничего не пришло"
30,2023-06-28 21:45:24+00:00,kris_gavrilovaaa,@linguatrip_com мне тоже ничего не прислали
31,2023-06-27 12:35:09+00:00,hussein_english_tutor,Effective and useful
32,2023-06-20 11:24:48+00:00,icyvlone17,Комменте все русские 😅💗
33,2023-06-16 20:59:43+00:00,castilloryhen,"❤️🔥tan bella, me gusta tu acento, pronunciación 🔥❤️"
34,2023-06-10 08:32:39+00:00,khomutova,"Купила у вас пособие, 3 дня прошло, ничего не прислали 😕😕"
35,2023-06-07 05:40:04+00:00,s_alisa_n,"Купила у вас пособие для уровня intermediate, но мне ничего не прислали!!!"
36,2023-05-21 16:28:27+00:00,m4rphy._,@linguatrip_com I am still waiting for the book
